80,8,5,This topic has always fascinated me.,2017-04-20,t
70,12,20,Great post! Thanks for sharing.,2022-03-09,f
73,12,6,Great post! Thanks for sharing.,2022-09-26,f
97,12,5,Great post! Thanks for sharing.,2020-12-12,t
89,13,1,I completely agree with your point of view.,2020-02-10,f
47,14,3,This article has been really helpful.,2021-08-08,f
25,51,16,I have a different opinion on this topic.,2018-12-25,t
27,43,9,I enjoyed reading this post. Thanks for sharing.,2015-08-28,t
28,12,6,This topic has always fascinated me.,2022-12-30,t
30,46,8,I have a different perspective on this subject.,2020-02-28,t
31,48,13,Great post! Really enjoyed reading it.,2018-04-06,f
33,10,8,I completely agree with your point of view.,2015-09-28,t
34,52,13,This article has been really helpful.,2015-08-03,f
35,57,1,I have a different opinion on this topic.,2021-01-22,t
36,8,17,Well-written and informative!,2021-03-03,f
37,53,20,I enjoyed reading this post. Thanks for sharing.,2022-12-12,t
38,13,16,This topic has always fascinated me.,2015-06-20,f
39,6,9,Well-written and thought-provoking.,2017-09-15,t
40,53,9,Well-written and thought-provoking.,2018-09-14,t
56,14,12,This article has been really helpful.,2016-08-23,t
67,15,17,I have a different opinion on this topic.,2019-07-31,f
78,18,7,Great article! It provided valuable insights.,2022-09-02,t
85,19,4,I enjoyed reading this post. Thanks for sharing.,2016-11-17,f
62,20,12,This topic has always fascinated me.,2022-12-18,f
82,20,11,This topic has always fascinated me.,2015-10-19,t
87,22,17,I have a different perspective on this subject.,2020-04-20,f
88,22,9,I have a different perspective on this subject.,2020-07-14,f
61,23,6,I completely agree with your point of view.,2018-04-03,t
92,23,15,I completely agree with your point of view.,2023-03-05,t
57,24,11,This article has been really helpful.,2023-04-22,t
54,25,15,I have a different opinion on this topic.,2018-11-17,t
48,26,12,Well-written and informative!,2021-12-14,f
43,27,6,I enjoyed reading this post. Thanks for sharing.,2015-09-15,f
72,27,19,I enjoyed reading this post. Thanks for sharing.,2017-01-10,f
66,28,1,This topic has always fascinated me.,2023-02-26,f
65,30,2,I have a different perspective on this subject.,2018-07-26,t
98,30,19,I have a different perspective on this subject.,2016-05-13,f
76,33,1,I completely agree with your point of view.,2021-03-02,t
90,34,12,This article has been really helpful.,2021-06-24,f
41,35,18,I have a different opinion on this topic.,2021-02-20,t
58,36,4,Well-written and informative!,2017-10-01,t
51,37,2,I enjoyed reading this post. Thanks for sharing.,2018-03-22,t
74,37,13,I enjoyed reading this post. Thanks for sharing.,2015-09-11,t
75,37,15,I enjoyed reading this post. Thanks for sharing.,2016-07-31,t
100,37,3,I enjoyed reading this post. Thanks for sharing.,2020-05-11,t
49,38,8,This topic has always fascinated me.,2019-12-10,t
1,25,18,Great post! Really enjoyed reading it.,2016-02-10,f
2,36,9,Great post! Thanks for sharing.,2017-02-11,f
5,24,16,I have a different opinion on this topic.,2019-09-24,t
7,39,9,I enjoyed reading this post. Thanks for sharing.,2017-07-25,f
9,31,4,Well-written and thought-provoking.,2015-12-18,t
13,27,15,I completely agree with your point of view.,2016-07-31,t
15,24,12,I have a different opinion on this topic.,2017-05-24,f
16,21,7,Well-written and informative!,2016-10-12,t
18,38,19,Great article! It provided valuable insights.,2022-01-25,f
21,22,9,Well-written and thought-provoking.,2020-02-17,t
22,33,2,I have a different perspective on this subject.,2023-05-19,t
23,17,15,I completely agree with your point of view.,2020-11-30,f
26,28,20,Well-written and informative!,2019-11-09,f
29,26,2,Well-written and thought-provoking.,2019-11-24,t
32,16,18,Great post! Thanks for sharing.,2019-05-09,t
168,47,17,I have a different perspective on this subject.,2016-03-12,f
177,59,9,I have a different perspective on this subject.,2017-06-16,f
188,14,5,I have a different perspective on this subject.,2018-01-24,t
189,39,11,I have a different perspective on this subject.,2022-12-21,f
190,7,4,I have a different perspective on this subject.,2020-05-28,f
209,18,9,I have a different perspective on this subject.,2015-10-05,f
221,54,8,I have a different perspective on this subject.,2019-03-17,t
223,31,16,I have a different perspective on this subject.,2019-06-05,t
229,36,15,I have a different perspective on this subject.,2018-12-30,t
230,35,4,I have a different perspective on this subject.,2022-06-18,f
235,15,17,I have a different perspective on this subject.,2019-05-02,f
250,2,4,I have a different perspective on this subject.,2022-08-21,f
251,7,9,I have a different perspective on this subject.,2017-09-10,t
256,29,6,I have a different perspective on this subject.,2020-08-14,t
275,8,18,I have a different perspective on this subject.,2020-08-16,t
280,54,10,I have a different perspective on this subject.,2022-08-25,t
295,54,10,I have a different perspective on this subject.,2020-04-10,f
298,43,7,I have a different perspective on this subject.,2023-05-09,f
110,26,15,Great post! Really enjoyed reading it.,2022-02-03,f
122,9,18,Great post! Really enjoyed reading it.,2021-07-15,t
137,28,17,Great post! Really enjoyed reading it.,2016-01-19,t
187,16,13,Great post! Really enjoyed reading it.,2017-10-12,f
193,32,4,Great post! Really enjoyed reading it.,2018-02-25,t
198,10,8,Great post! Really enjoyed reading it.,2017-03-02,t
239,13,10,Great post! Really enjoyed reading it.,2015-08-28,f
240,29,1,Great post! Really enjoyed reading it.,2023-01-17,t
243,16,9,Great post! Really enjoyed reading it.,2020-12-12,f
245,59,1,Great post! Really enjoyed reading it.,2023-01-30,f
247,8,10,Great post! Really enjoyed reading it.,2019-05-27,t
257,48,11,Great post! Really enjoyed reading it.,2018-10-01,f
262,45,15,Great post! Really enjoyed reading it.,2022-03-05,f
284,29,3,Great post! Really enjoyed reading it.,2019-10-25,f
120,24,16,Great post! Thanks for sharing.,2020-10-24,t
132,37,11,Great post! Thanks for sharing.,2023-02-15,f
145,38,14,Great post! Thanks for sharing.,2016-03-08,f
153,47,7,Great post! Thanks for sharing.,2019-02-27,t
159,23,5,Great post! Thanks for sharing.,2021-05-11,f
166,8,10,Great post! Thanks for sharing.,2017-07-31,t
173,34,11,Great post! Thanks for sharing.,2019-09-08,f
174,47,14,Great post! Thanks for sharing.,2022-06-16,f
181,12,9,Great post! Thanks for sharing.,2020-07-25,t
183,5,17,Great post! Thanks for sharing.,2018-10-12,t
208,24,8,Great post! Thanks for sharing.,2018-11-13,t
224,24,14,Great post! Thanks for sharing.,2015-06-25,t
225,33,13,Great post! Thanks for sharing.,2017-12-20,f
241,24,2,Great post! Thanks for sharing.,2019-08-02,f
246,11,12,Great post! Thanks for sharing.,2018-05-19,f
252,5,14,Great post! Thanks for sharing.,2023-05-14,t
253,11,1,Great post! Thanks for sharing.,2017-05-22,f
264,11,13,Great post! Thanks for sharing.,2021-09-09,t
266,51,1,Great post! Thanks for sharing.,2016-08-02,f
283,58,3,Great post! Thanks for sharing.,2023-05-28,f
292,39,9,Great post! Thanks for sharing.,2015-11-24,f
294,46,5,Great post! Thanks for sharing.,2020-09-28,f
102,52,12,I completely agree with your point of view.,2020-01-11,f
111,39,18,I completely agree with your point of view.,2017-09-20,t
130,5,7,I completely agree with your point of view.,2020-01-23,f
136,52,15,I completely agree with your point of view.,2023-06-06,f
138,21,18,I completely agree with your point of view.,2021-05-13,t
155,40,10,I completely agree with your point of view.,2018-03-20,f
156,13,13,I completely agree with your point of view.,2019-09-12,f
163,15,17,I completely agree with your point of view.,2017-10-11,t
182,22,18,I completely agree with your point of view.,2016-06-03,t
184,31,2,I completely agree with your point of view.,2019-11-05,f
194,58,7,I completely agree with your point of view.,2021-07-01,t
205,57,3,I completely agree with your point of view.,2017-11-02,f
211,30,1,I completely agree with your point of view.,2017-08-02,f
213,10,7,I completely agree with your point of view.,2022-12-07,f
216,55,19,I completely agree with your point of view.,2022-01-19,t
219,25,12,I completely agree with your point of view.,2019-02-23,f
222,1,2,I completely agree with your point of view.,2016-01-01,f
249,45,13,I completely agree with your point of view.,2016-03-10,f
271,53,9,I completely agree with your point of view.,2019-04-04,t
276,42,7,I completely agree with your point of view.,2018-10-13,f
103,41,20,This article has been really helpful.,2021-05-07,f
106,19,18,This article has been really helpful.,2016-04-23,t
107,1,18,This article has been really helpful.,2022-10-19,t
109,24,11,This article has been really helpful.,2016-03-25,f
115,26,15,This article has been really helpful.,2020-06-30,t
124,13,12,This article has been really helpful.,2018-03-16,t
127,44,14,This article has been really helpful.,2019-11-21,t
144,20,17,This article has been really helpful.,2018-03-13,f
154,15,11,This article has been really helpful.,2018-08-06,f
158,51,4,This article has been really helpful.,2021-12-18,t
160,44,15,This article has been really helpful.,2018-10-23,t
161,19,17,This article has been really helpful.,2019-11-13,t
165,8,8,This article has been really helpful.,2021-06-06,f
180,32,14,This article has been really helpful.,2018-02-10,t
201,55,16,This article has been really helpful.,2021-04-28,f
212,51,13,This article has been really helpful.,2016-07-10,t
220,55,7,This article has been really helpful.,2019-09-11,f
226,28,5,This article has been really helpful.,2016-04-10,t
233,54,9,This article has been really helpful.,2018-08-04,f
244,29,11,This article has been really helpful.,2017-10-05,f
248,41,14,This article has been really helpful.,2019-11-21,f
263,45,11,This article has been really helpful.,2017-06-23,t
265,2,2,This article has been really helpful.,2022-12-23,f
272,18,18,This article has been really helpful.,2018-12-02,t
277,29,16,This article has been really helpful.,2016-02-23,f
278,19,8,This article has been really helpful.,2020-11-05,f
288,37,18,This article has been really helpful.,2020-03-08,t
101,14,9,I have a different opinion on this topic.,2016-01-22,t
112,60,1,I have a different opinion on this topic.,2016-12-10,f
129,29,2,I have a different opinion on this topic.,2022-07-07,f
134,33,10,I have a different opinion on this topic.,2020-09-16,f
135,28,1,I have a different opinion on this topic.,2023-04-10,t
140,24,15,I have a different opinion on this topic.,2022-09-10,f
148,59,17,I have a different opinion on this topic.,2018-03-24,f
152,46,12,I have a different opinion on this topic.,2022-08-10,t
170,31,11,I have a different opinion on this topic.,2020-07-15,f
172,22,19,I have a different opinion on this topic.,2017-05-27,t
176,25,3,I have a different opinion on this topic.,2015-10-19,t
178,12,16,I have a different opinion on this topic.,2019-02-26,t
179,47,6,I have a different opinion on this topic.,2018-01-19,f
192,16,16,I have a different opinion on this topic.,2021-06-27,t
203,43,19,I have a different opinion on this topic.,2017-06-11,t
210,31,3,I have a different opinion on this topic.,2023-06-13,t
214,54,19,I have a different opinion on this topic.,2017-07-24,f
215,23,4,I have a different opinion on this topic.,2016-04-23,t
228,7,16,I have a different opinion on this topic.,2018-01-12,f
289,31,4,I have a different opinion on this topic.,2020-11-21,f
291,34,10,I have a different opinion on this topic.,2022-06-11,t
299,43,3,I have a different opinion on this topic.,2021-07-12,f
300,28,18,I have a different opinion on this topic.,2019-02-06,f
105,41,18,Well-written and informative!,2020-08-02,t
126,42,9,Well-written and informative!,2022-02-04,f
139,7,7,Well-written and informative!,2018-12-24,f
147,13,20,Well-written and informative!,2022-05-17,f
151,2,3,Well-written and informative!,2021-05-08,t
167,7,14,Well-written and informative!,2018-09-09,f
169,22,15,Well-written and informative!,2017-12-01,f
171,54,7,Well-written and informative!,2015-09-11,t
186,19,19,Well-written and informative!,2018-04-05,f
195,41,7,Well-written and informative!,2023-05-10,t
196,8,2,Well-written and informative!,2018-07-29,t
197,17,14,Well-written and informative!,2016-06-17,t
204,29,19,Well-written and informative!,2022-03-27,t
206,41,15,Well-written and informative!,2018-05-02,f
217,43,2,Well-written and informative!,2020-06-06,f
218,45,5,Well-written and informative!,2022-09-17,t
231,27,5,Well-written and informative!,2021-05-29,f
234,59,4,Well-written and informative!,2021-10-10,t
236,9,6,Well-written and informative!,2019-03-09,t
237,32,19,Well-written and informative!,2022-07-12,f
242,15,1,Well-written and informative!,2021-02-13,t
268,12,3,Well-written and informative!,2022-01-13,f
273,43,6,Well-written and informative!,2022-04-17,t
285,19,3,Well-written and informative!,2021-05-29,t
286,20,3,Well-written and informative!,2019-01-19,f
293,59,1,Well-written and informative!,2021-04-12,f
104,18,8,I enjoyed reading this post. Thanks for sharing.,2022-08-25,t
108,33,17,I enjoyed reading this post. Thanks for sharing.,2015-11-24,t
114,38,7,I enjoyed reading this post. Thanks for sharing.,2023-04-28,t
116,22,10,I enjoyed reading this post. Thanks for sharing.,2017-11-05,f
131,40,15,I enjoyed reading this post. Thanks for sharing.,2023-04-07,f
149,2,14,I enjoyed reading this post. Thanks for sharing.,2020-08-19,t
150,54,6,I enjoyed reading this post. Thanks for sharing.,2022-08-02,f
164,21,5,I enjoyed reading this post. Thanks for sharing.,2019-12-05,f
175,40,15,I enjoyed reading this post. Thanks for sharing.,2020-09-08,f
185,36,8,I enjoyed reading this post. Thanks for sharing.,2022-03-13,f
199,36,12,I enjoyed reading this post. Thanks for sharing.,2023-03-19,f
207,41,6,I enjoyed reading this post. Thanks for sharing.,2022-10-16,t
254,39,18,I enjoyed reading this post. Thanks for sharing.,2016-11-22,f
258,50,14,I enjoyed reading this post. Thanks for sharing.,2021-11-02,f
260,43,3,I enjoyed reading this post. Thanks for sharing.,2016-02-20,f
270,27,5,I enjoyed reading this post. Thanks for sharing.,2021-12-06,t
274,16,11,I enjoyed reading this post. Thanks for sharing.,2021-05-28,t
290,46,5,I enjoyed reading this post. Thanks for sharing.,2019-09-14,t
113,53,8,This topic has always fascinated me.,2022-09-28,f
121,30,12,This topic has always fascinated me.,2020-02-16,f
123,14,4,This topic has always fascinated me.,2019-02-24,f
141,38,15,This topic has always fascinated me.,2015-08-29,t
146,57,10,This topic has always fascinated me.,2019-09-11,f
200,26,1,This topic has always fascinated me.,2017-12-26,t
202,21,2,This topic has always fascinated me.,2015-09-10,f
232,52,14,This topic has always fascinated me.,2019-03-31,f
238,23,13,This topic has always fascinated me.,2022-08-23,f
255,16,17,This topic has always fascinated me.,2019-11-14,t
261,55,11,This topic has always fascinated me.,2019-04-13,t
267,54,8,This topic has always fascinated me.,2019-04-28,t
269,24,15,This topic has always fascinated me.,2023-02-28,t
279,14,12,This topic has always fascinated me.,2016-04-09,t
281,29,7,This topic has always fascinated me.,2016-12-15,t
287,37,1,This topic has always fascinated me.,2015-08-23,t
296,54,19,This topic has always fascinated me.,2017-04-12,f
297,60,10,This topic has always fascinated me.,2019-03-20,t
125,34,1,Well-written and thought-provoking.,2017-08-16,t
133,49,6,Well-written and thought-provoking.,2018-02-04,f
142,6,9,Well-written and thought-provoking.,2020-02-26,f
162,24,3,Well-written and thought-provoking.,2020-09-26,f
191,37,17,Well-written and thought-provoking.,2017-03-23,f
227,35,12,Well-written and thought-provoking.,2022-07-05,t
259,39,1,Well-written and thought-provoking.,2021-10-09,t
282,38,11,Well-written and thought-provoking.,2017-07-22,f
